event_id,customer_id,event_type,amount,updated_at,metadata.channel,metadata.campaign
E0068,C0170,page_view,391.52,2026-08-09T20:00:00,web,launch
E0069,C0156,add_to_cart,2090.73,2026-08-09T23:00:00,mobile,retarget
E0070,C0029,checkout,3856.43,2026-08-10T02:00:00,mobile,none
E0071,C0036,support,50.55,2026-08-10T05:00:00,partner,launch
E0072,C0022,support,508.55,2026-08-10T08:00:00,web,launch
E0073,C0105,page_view,2915.3,2026-08-10T11:00:00,mobile,retarget
E0074,C0248,add_to_cart,1156.58,2026-08-10T14:00:00,web,none
E0075,C0125,page_view,4953.77,2026-08-10T17:00:00,partner,retarget
E0076,C0140,support,3513.91,2026-08-10T20:00:00,partner,retarget
E0077,C0089,checkout,241.64,2026-08-10T23:00:00,mobile,launch
E0078,C0081,support,2564.16,2026-08-11T02:00:00,mobile,retarget
E0079,C0233,payment,4426.57,2026-08-11T05:00:00,web,launch
E0080,C0187,add_to_cart,1197.38,2026-08-11T08:00:00,mobile,none
E0081,C0019,checkout,301.54,2026-08-11T11:00:00,web,none
E0082,C0106,payment,429.27,2026-08-11T14:00:00,mobile,launch
E0083,C0112,page_view,2417.39,2026-08-11T17:00:00,partner,retarget
E0084,C0191,payment,3003.47,2026-08-11T20:00:00,partner,none
E0085,C0222,payment,2432.58,2026-08-11T23:00:00,mobile,retarget
E0086,C0010,support,1371.16,2026-08-12T02:00:00,partner,none
E0087,C0182,checkout,4636.32,2026-08-12T05:00:00,mobile,retarget
E0088,C0022,checkout,3035.34,2026-08-12T08:00:00,mobile,retarget
E0089,C0126,page_view,317.05,2026-08-12T11:00:00,mobile,retarget
E0090,C0208,page_view,923.24,2026-08-12T14:00:00,partner,none
E0091,C0116,payment,3541.85,2026-08-12T17:00:00,partner,launch
E0092,C0198,support,1046.6,2026-08-12T20:00:00,partner,launch
E0093,C0219,add_to_cart,1722.94,2026-08-12T23:00:00,web,none
E0094,C0149,payment,589.82,2026-08-13T02:00:00,mobile,retarget
E0095,C0160,add_to_cart,3122.35,2026-08-13T05:00:00,web,launch
E0096,C0127,checkout,705.31,2026-08-13T08:00:00,mobile,launch
E0097,C0017,checkout,1038.53,2026-08-13T11:00:00,partner,retarget
E0098,C0174,support,4174.27,2026-08-13T14:00:00,mobile,none
E0099,C0249,add_to_cart,1900.36,2026-08-13T17:00:00,web,retarget
E0100,C0068,add_to_cart,1728.93,2026-08-13T20:00:00,web,launch
E0101,C0149,support,591.08,2026-08-13T23:00:00,mobile,retarget
E0102,C0131,payment,2039.44,2026-08-14T02:00:00,web,none
E0103,C0153,add_to_cart,144.0,2026-08-14T05:00:00,mobile,retarget
E0104,C0023,support,4465.57,2026-08-14T08:00:00,partner,launch
E0105,C0122,add_to_cart,3778.72,2026-08-14T11:00:00,mobile,launch
E0106,C0203,support,4312.05,2026-08-14T14:00:00,web,retarget
E0107,C0014,page_view,2660.3,2026-08-14T17:00:00,web,retarget
E0108,C0080,add_to_cart,3617.42,2026-08-14T20:00:00,mobile,retarget
E0109,C0097,add_to_cart,3953.28,2026-08-14T23:00:00,web,none
E0110,C0090,page_view,1835.58,2026-08-15T02:00:00,mobile,launch
E0111,C0149,support,3438.82,2026-08-15T05:00:00,partner,launch
E0112,C0035,support,4201.24,2026-08-15T08:00:00,web,retarget
E0113,C0172,support,3569.44,2026-08-15T11:00:00,web,launch
E0114,C0127,payment,1275.78,2026-08-15T14:00:00,mobile,launch
E0115,C0210,add_to_cart,2850.56,2026-08-15T17:00:00,mobile,retarget
E0116,C0150,page_view,3969.16,2026-08-15T20:00:00,web,none
E0117,C0018,payment,1743.34,2026-08-15T23:00:00,partner,launch
E0118,C0033,add_to_cart,4886.64,2026-08-16T02:00:00,web,launch
E0119,C0012,payment,150.25,2026-08-16T05:00:00,web,retarget
E0120,C0114,add_to_cart,1041.42,2026-08-16T08:00:00,mobile,none
E0020,C0073,page_view,999.99,2026-08-21T09:00:00,partner,launch
E0055,C0023,add_to_cart,888.88,2026-08-21T10:00:00,mobile,retarget
