order_id,customer_id,order_timestamp,status,item_count,subtotal,shipping_fee,total_amount,shipping.region,shipping.method
O00126,C0097,2026-03-11T04:27:00,Paid,7,3727.77,0,3727.77,Region VII,Standard
O00127,C0095,2026-03-31T20:48:00,Paid,3,6741.78,0,6741.78,Region III,Standard
O00128,C0097,2026-03-29T08:04:00,Delivered,8,5338.07,79,5417.07,NCR,Pickup
O00129,C0100,2026-03-26T04:37:00,Packed,6,5580.58,99,5679.58,NCR,Pickup
O00130,C0101,2026-04-27T10:28:00,Shipped,3,3007.62,79,3086.62,Region VII,Pickup
O00131,C0146,2026-04-12T20:10:00,Paid,6,10861.72,49,10910.72,Region XI,Standard
O00132,C0201,2026-03-19T06:27:00,Cancelled,7,3300.21,79,3379.21,Region XI,Pickup
O00133,C0015,2026-01-24T16:15:00,Pending,3,2041.23,49,2090.23,NCR,Standard
O00134,C0146,2026-01-23T02:14:00,Cancelled,6,4427.4,99,4526.4,Region VII,Pickup
O00135,C0215,2026-03-08T11:29:00,Paid,3,11684.6,79,11763.6,Region III,Standard
O00136,C0070,2026-03-08T15:21:00,Pending,6,8502.41,0,8502.41,Region VII,Standard
O00137,C0109,2026-05-25T22:17:00,Packed,2,3516.41,49,3565.41,NCR,Standard
O00138,C0028,2026-06-14T03:37:00,Paid,3,597.62,49,646.62,Region IV-A,Standard
O00139,C0158,2026-01-04T20:42:00,Delivered,7,3535.99,149,3684.99,NCR,Standard
O00140,C0187,2026-04-29T01:12:00,Pending,7,1103.75,79,1182.75,Region III,Pickup
O00141,C0019,2026-03-03T05:51:00,Pending,3,9242.84,49,9291.84,Region III,Standard
O00142,C0036,2026-03-19T03:59:00,Paid,1,4938.67,0,4938.67,Region IV-A,Express
O00143,C0159,2026-06-01T01:37:00,Pending,1,6989.61,0,6989.61,Region XI,Standard
O00144,C0200,2026-06-13T08:58:00,Cancelled,3,2290.95,99,2389.95,Region XI,Standard
O00145,C0061,2026-02-01T10:16:00,Packed,3,11770.72,149,11919.72,Region IV-A,Standard
O00146,C0030,2026-06-15T10:19:00,Packed,1,3113.5,79,3192.5,Region IV-A,Express
O00147,C0101,2026-01-29T19:35:00,Delivered,4,11080.42,79,11159.42,Region VII,Express
O00148,C0233,2026-03-04T07:56:00,Packed,4,4870.14,99,4969.14,Region VII,Express
O00149,C0033,2026-01-25T21:48:00,Delivered,8,6652.36,149,6801.36,Region III,Standard
O00150,C0191,2026-02-04T08:24:00,Shipped,6,2382.73,79,2461.73,Region VII,Express
O00151,C0158,2026-06-12T03:35:00,Cancelled,7,3383.4,49,3432.4,Region IV-A,Pickup
O00152,C0148,2026-06-07T05:02:00,Delivered,3,2833.32,149,2982.32,NCR,Pickup
O00153,C0076,2026-05-08T01:54:00,Shipped,1,3488.61,49,3537.61,NCR,Pickup
O00154,C0126,2026-05-21T23:42:00,Pending,4,342.14,49,391.14,NCR,Standard
O00155,C0141,2026-05-09T14:21:00,Cancelled,5,11997.73,99,12096.73,Region III,Standard
O00156,C0125,2026-03-08T09:07:00,Cancelled,7,758.72,49,807.72,NCR,Standard
O00157,C0011,2026-04-24T08:37:00,Delivered,1,7832.81,79,7911.81,NCR,Express
O00158,C0221,2026-05-31T04:07:00,Pending,5,7658.53,0,7658.53,NCR,Pickup
O00159,C0179,2026-02-19T10:39:00,Pending,4,10698.96,149,10847.96,Region III,Express
O00160,C0221,2026-06-28T09:34:00,Paid,1,10447.46,149,10596.46,Region XI,Pickup
O00161,C0130,2026-06-11T08:14:00,Pending,5,7170.61,79,7249.61,NCR,Standard
O00162,C0058,2026-01-06T04:10:00,Packed,1,2983.73,49,3032.73,Region VII,Pickup
O00163,C0131,2026-02-26T21:14:00,Delivered,4,1507.29,0,1507.29,Region VII,Pickup
O00164,C0232,2026-06-11T00:18:00,Paid,7,5337.28,0,5337.28,Region VII,Standard
O00165,C0083,2026-06-01T12:50:00,Pending,8,4632.08,49,4681.08,Region III,Standard
O00166,C0059,2026-02-15T21:01:00,Paid,7,821.77,99,920.77,Region III,Express
O00167,C0065,2026-05-30T05:22:00,Paid,7,5592.46,0,5592.46,Region VII,Pickup
O00168,C0140,2026-03-07T20:53:00,Pending,7,5999.04,149,6148.04,Region IV-A,Standard
O00169,C0246,2026-01-22T06:57:00,Shipped,7,420.22,0,420.22,NCR,Pickup
O00170,C0206,2026-01-16T09:03:00,Paid,3,1131.35,49,1180.35,Region III,Express
O00171,C0107,2026-01-09T02:13:00,Delivered,5,5295.99,79,5374.99,Region VII,Standard
O00172,C0161,2026-05-22T07:03:00,Cancelled,7,1636.7,79,1715.7,Region VII,Express
O00173,C0128,2026-01-10T10:36:00,Delivered,4,3656.81,49,3705.81,Region III,Standard
O00174,C0213,2026-04-08T02:32:00,Cancelled,3,11158.18,99,11257.18,Region III,Standard
O00175,C0067,2026-01-18T07:24:00,Cancelled,4,7316.09,49,7365.09,NCR,Standard
O00176,C0075,2026-02-23T04:59:00,Packed,3,10739.81,99,10838.81,Region VII,Standard
O00177,C0217,2026-06-18T23:27:00,Pending,1,11501.87,0,11501.87,Region III,Standard
O00178,C0144,2026-05-09T17:07:00,Packed,6,6138.44,79,6217.44,Region III,Pickup
O00179,C0117,2026-02-09T10:44:00,Packed,3,7063.94,49,7112.94,NCR,Standard
O00180,C0040,2026-03-31T07:53:00,Shipped,2,9672.69,49,9721.69,Region IV-A,Standard
O00181,C0129,2026-01-24T19:21:00,Delivered,6,4742.07,49,4791.07,Region XI,Standard
O00182,C0126,2026-01-12T13:10:00,Packed,4,4916.67,79,4995.67,NCR,Pickup
O00183,C0228,2026-02-16T16:21:00,Packed,4,3091.68,49,3140.68,NCR,Express
O00184,C0033,2026-02-05T06:25:00,Delivered,4,2828.72,99,2927.72,Region XI,Standard
O00185,C0126,2026-05-09T11:25:00,Pending,7,6111.18,99,6210.18,Region III,Standard
O00186,C0087,2026-02-26T10:46:00,Delivered,5,3875.19,0,3875.19,Region VII,Standard
O00187,C0042,2026-05-17T09:41:00,Cancelled,7,8973.14,79,9052.14,Region IV-A,Standard
O00188,C0111,2026-02-16T03:26:00,Cancelled,3,3330.03,0,3330.03,Region XI,Standard
O00189,C0093,2026-05-10T04:50:00,Cancelled,6,1634.97,99,1733.97,Region VII,Pickup
O00190,C0202,2026-06-15T17:20:00,Packed,6,9774.4,79,9853.4,Region XI,Standard
O00191,C0169,2026-05-01T20:15:00,Packed,1,4625.21,0,4625.21,NCR,Pickup
O00192,C0174,2026-04-07T07:33:00,Cancelled,2,6647.83,0,6647.83,Region IV-A,Pickup
O00193,C0096,2026-05-25T05:26:00,Pending,7,4114.19,149,4263.19,NCR,Standard
O00194,C0202,2026-02-18T23:50:00,Cancelled,3,3903.74,49,3952.74,Region III,Express
O00195,C0135,2026-03-17T18:53:00,Paid,5,9234.93,49,9283.93,Region III,Express
O00196,C0111,2026-06-01T21:57:00,Shipped,1,453.52,149,602.52,Region XI,Pickup
O00197,C0105,2026-05-16T02:14:00,Delivered,1,6918.03,79,6997.03,Region III,Standard
O00198,C0207,2026-06-23T00:01:00,Paid,5,10048.55,149,10197.55,Region III,Express
O00199,C0049,2026-05-02T13:25:00,Delivered,8,10778.21,0,10778.21,NCR,Standard
O00200,C0230,2026-05-16T16:38:00,Pending,7,9935.13,99,10034.13,Region III,Standard
O00201,C0196,2026-05-16T09:01:00,Delivered,4,8028.09,79,8107.09,NCR,Express
O00202,C0113,2026-02-03T17:59:00,Packed,4,3005.73,79,3084.73,Region III,Standard
O00203,C0244,2026-05-06T21:14:00,Delivered,2,7068.46,99,7167.46,Region XI,Pickup
O00204,C0232,2026-05-05T13:00:00,Cancelled,8,5113.68,99,5212.68,Region XI,Pickup
O00205,C0088,2026-04-08T09:24:00,Shipped,7,1763.14,149,1912.14,Region IV-A,Express
O00206,C0098,2026-05-31T16:47:00,Shipped,4,7821.21,79,7900.21,NCR,Pickup
O00207,C0040,2026-05-04T19:20:00,Paid,1,4637.68,49,4686.68,Region XI,Standard
O00208,C0038,2026-02-11T09:19:00,Cancelled,2,9542.04,0,9542.04,NCR,Standard
O00209,C0157,2026-06-06T12:17:00,Shipped,4,5925.35,0,5925.35,Region III,Pickup
O00210,C0155,2026-06-30T07:38:00,Packed,3,9779.4,79,9858.4,NCR,Pickup
O00211,C0222,2026-03-07T06:54:00,Shipped,4,8895.33,149,9044.33,NCR,Pickup
O00212,C0113,2026-05-25T19:04:00,Cancelled,3,7063.96,79,7142.96,Region IV-A,Standard
O00213,C0032,2026-03-06T21:01:00,Delivered,1,1655.71,79,1734.71,Region XI,Standard
O00214,C0237,2026-05-04T13:12:00,Shipped,6,11245.61,99,11344.61,Region XI,Standard
O00215,C0145,2026-01-31T11:33:00,Paid,5,4651.15,99,4750.15,Region IV-A,Express
O00216,C0098,2026-03-11T12:40:00,Paid,7,885.99,49,934.99,Region III,Express
O00217,C0111,2026-03-28T22:09:00,Delivered,5,8725.4,149,8874.4,Region VII,Express
O00218,C0058,2026-01-14T05:09:00,Delivered,4,3528.25,79,3607.25,Region IV-A,Standard
O00219,C0095,2026-01-07T11:08:00,Packed,7,7825.34,0,7825.34,Region III,Pickup
O00220,C0074,2026-06-18T14:22:00,Packed,5,10604.88,99,10703.88,Region IV-A,Standard
O00221,C0153,2026-04-02T04:35:00,Pending,3,794.87,0,794.87,Region XI,Express
O00222,C0238,2026-05-15T14:29:00,Shipped,3,8588.86,99,8687.86,Region IV-A,Express
O00223,C0019,2026-04-05T19:07:00,Pending,1,8999.58,79,9078.58,Region VII,Express
O00224,C0148,2026-05-09T00:42:00,Delivered,1,7737.4,0,7737.4,Region VII,Pickup
O00225,C0099,2026-02-10T04:32:00,Delivered,1,4493.67,0,4493.67,Region XI,Express
O00226,C0037,2026-04-20T20:18:00,Shipped,2,7581.36,99,7680.36,Region XI,Standard
O00227,C0119,2026-03-27T02:07:00,Shipped,2,5067.49,0,5067.49,Region XI,Express
O00228,C0236,2026-04-05T11:37:00,Pending,4,7715.44,99,7814.44,Region XI,Pickup
O00229,C0141,2026-03-11T09:40:00,Paid,3,11146.72,149,11295.72,Region VII,Express
O00230,C0160,2026-02-03T14:48:00,Shipped,3,5914.12,99,6013.12,Region XI,Standard
O00231,C0046,2026-05-10T10:15:00,Delivered,3,6122.57,99,6221.57,Region VII,Standard
O00232,C0165,2026-03-29T21:50:00,Delivered,3,1984.94,79,2063.94,Region IV-A,Pickup
O00233,C0129,2026-03-04T07:49:00,Cancelled,5,3419.25,149,3568.25,Region XI,Standard
O00234,C0217,2026-04-27T18:33:00,Cancelled,7,2577.23,79,2656.23,Region IV-A,Pickup
O00235,C0053,2026-01-29T04:13:00,Pending,8,8314.49,99,8413.49,Region VII,Express
O00236,C0060,2026-03-28T03:10:00,Delivered,3,2695.23,79,2774.23,Region XI,Express
O00237,C0186,2026-03-04T07:50:00,Pending,1,5219.87,49,5268.87,NCR,Pickup
O00238,C0085,2026-02-21T19:26:00,Packed,1,11046.39,99,11145.39,Region III,Pickup
O00239,C0094,2026-02-10T09:04:00,Packed,5,5298.52,79,5377.52,Region IV-A,Express
O00240,C0171,2026-03-20T07:04:00,Pending,2,11825.24,79,11904.24,Region VII,Express
O00241,C0010,2026-05-10T19:44:00,Pending,2,3227.79,49,3276.79,NCR,Standard
O00242,C0008,2026-02-05T19:36:00,Cancelled,3,8280.23,149,8429.23,NCR,Pickup
O00243,C0110,2026-01-04T07:18:00,Shipped,1,7587.0,0,7587.0,Region III,Standard
O00244,C0168,2026-04-28T17:16:00,Paid,6,3374.77,0,3374.77,NCR,Pickup
O00245,C0186,2026-03-30T11:56:00,Packed,6,11183.42,79,11262.42,Region III,Pickup
O00246,C0051,2026-06-10T06:11:00,Paid,1,11350.46,99,11449.46,Region III,Pickup
O00247,C0188,2026-03-16T09:46:00,Paid,3,966.14,149,1115.14,Region IV-A,Standard
O00248,C0043,2026-05-06T23:10:00,Paid,7,7951.38,0,7951.38,Region IV-A,Pickup
O00249,C0202,2026-02-10T13:58:00,Shipped,6,8279.09,79,8358.09,Region III,Standard
O00250,C0190,2026-05-17T09:52:00,Delivered,3,1910.34,149,2059.34,Region III,Standard
